X,Y,Year of construction,Living area,Year of reconstruction,Land area,Evaluation,Sales price,No. of toilets and baths,Jordstykke_id,BFEnummer,Kommunekode,Ejendomsnummer,Salgsdato,Distance to coast,Sales price of the neighborhood,Distance to railroad,Distance to stream,Distance to windturbines,Distance to forest,Distance to motorway,Distance to trafficroads,Distance to lake,Energylabel,Energylabel encoded
548601.54,6154733.17,1960,164,1994,1808,2250000,3995000,3,19370,3007214,410,8130,2021,448.1719628,51424032.79,2982.990107,356.061798,2957.851958,656.1085643,2279.631539,2444.041916,440.9549639,C,5
549100.58,6154168.81,1976,154,2001,1085,1300000,1535000,2,17813,3005630,410,11784,2017,1172.373897,34857196.18,3704.383988,72.8800247,2398.236714,247.7127161,1838.167234,1756.103887,274.1148163,None,0
564648.4,6147314.31,1963,96,1963,700,480000,870000,2,35238,2705275,410,405,2022,7092.040178,17996709.37,7148.391231,283.1650208,4115.754842,106.150568,4402.192963,241.5139371,92.9587188,D,4
547984.15,6150025.19,1965,113,1965,875,980000,1560000,3,17176,3002117,410,7201,2019,1659.640459,40714383.84,464.6365189,1035.772651,3088.589973,415.8701769,2077.242914,455.9207022,646.7342809,C,5
555507.29,6138324.86,1865,240,1865,4822,910000,2000000,2,35794,2705929,410,3225,2022,9322.944328,23535081.72,5321.46167,189.9061942,1449.14149,525.2776645,8390.171576,1901.531917,292.9964218,None,0
550926.99,6146351.7,1850,304,2018,5695,1650000,3000000,5,15220,2703248,410,11097,2017,515.9617189,32529553.66,1626.194195,438.8507998,3345.64174,235.4924823,3568.349141,901.9810792,281.9200348,C,5
546973.69,6149541.77,1973,152,1973,914,1250000,2295000,3,16042,3001026,410,11328,2020,858.4313758,47181322.73,645.656372,302.0449763,4207.506349,361.833521,2957.687556,955.0893201,554.6256716,B,6
544985.57,6151108.01,1967,152,2002,764,1450000,2495000,2,24324,5451944,410,7654,2020,780.1683383,52600698.77,170.2805685,286.7172673,5819.762852,133.6921467,2417.252946,270.3564303,349.2519215,C,5
561304.03,6138022.51,1964,93,1964,1000,510000,595000,2,34394,8509562,410,709,2018,13420.37904,24815149.84,1145.812227,123.797361,3229.390689,25.70141825,5076.204286,917.877094,62.69660358,E,3
549573.83,6155123.78,1974,219,1974,927,1500000,3000000,7,18245,3006114,410,5802,2019,1404.173166,51743480.51,3171.475181,155.2570804,2163.17432,89.27230534,2829.435972,2655.252437,209.7305111,F,2
549048.46,6154516.53,1975,138,1975,859,1200000,1525000,3,19893,3007380,410,11380,2020,944.3883457,48524490.76,3371.700339,96.51997262,2479.42647,342.9194804,2186.984679,2106.178321,86.36440992,D,4
548440.49,6155259.9,1927,147,1927,954,1800000,2770000,3,19161,3006813,410,8449,2019,437.2709846,43723453.96,2435.599972,682.4695628,3257.899179,311.1357986,2725.816335,2879.305555,647.0539565,D,4
548422.57,6154902.55,1932,100,1975,571,950000,2625000,2,19039,3006786,410,10598,2021,235.542252,44363571.63,2759.349355,573.0086582,3169.966233,654.1486314,2381.925872,2660.96224,642.7835251,E,3
548922.28,6155195.02,1932,141,1992,943,1350000,1450000,2,19636,3006984,410,10333,2018,790.9044418,55335339.01,2722.870534,203.7754769,2785.272185,410.3462573,2820.280757,2795.649148,161.1076066,C,5
549942.71,6154641.98,1979,140,1979,941,1150000,2100000,3,18332,3005837,410,12176,2018,1775.062484,42020637.41,3778.253885,502.7313891,1635.919607,169.1127509,2452.832356,2208.420882,340.4900189,D,4
551158.67,6148465.02,1995,214,1995,2266,1500000,2495000,4,736521,7828185,410,7761,2021,2405.827047,35646397.34,325.5906278,368.2133784,1566.68479,621.4361979,1447.970566,818.3505644,167.1217583,A2010,7
548183.08,6155448.51,1927,185,1983,1041,1950000,2500000,3,18944,3006551,410,8742,2020,293.1960153,76318922.54,2164.205496,934.0358387,3565.649931,77.58768266,2821.236847,2577.153925,941.2545042,D,4
548813.7,6154204.59,1968,226,1968,838,1150000,1915000,4,19554,3007695,410,8520,2018,938.7770284,44438954.61,3526.8844,224.4070182,2685.761481,261.0179835,1847.748847,1875.620814,269.4056834,G,1
544857.24,6151166.66,1978,175,1978,993,1550000,2900000,3,24284,5452011,410,11505,2018,839.9017164,55089241.65,169.3490609,295.6069696,5944.798444,133.8400433,2439.804925,251.7440972,332.7984847,C,5
551658.85,6151567.69,1895,275,1895,7325,1450000,1665000,4,20892,3009285,410,10715,2018,4589.614351,24745365.32,3429.93328,91.19117775,682.9732883,86.17891689,1448.051877,476.5430521,124.1141704,F,2
545683.2,6150847.98,1940,109,1940,481,900000,1100000,3,22101,5449277,410,5973,2021,708.7873185,29779977.2,27.29019173,506.0795299,5147.368136,297.6339525,2332.056394,22.09696286,387.8886037,E,3
548665.54,6154669.77,1967,142,1967,679,1350000,2250000,3,19251,3007277,410,8147,2019,532.577634,51734486.16,3066.40902,288.9364579,2882.799196,605.4345118,2240.34708,2363.815179,351.8986391,G,1
547158.49,6150681.73,1966,127,1966,915,1050000,1795000,3,23748,5450634,410,9279,2021,735.0095048,32280046.27,35.33520058,695.8621273,3716.962153,59.62195905,1964.289217,199.3113109,938.1409888,D,4
547362.6,6150248.87,1932,118,1932,1040,930000,2045000,3,16270,3001963,410,5495,2022,1198.540724,30748778.83,48.59623649,474.0313501,3605.174213,117.5968285,2154.511805,231.8162185,844.410847,D,4
547245.02,6150600.51,1928,107,1969,841,870000,780000,3,16007,3001710,410,8472,2017,829.3813532,27502660.05,53.04642192,653.3799303,3644.257936,64.39488489,1958.730216,119.76789,936.4025605,F,2
547516.38,6149667.69,1979,157,1979,774,1000000,2215000,4,16694,3001099,410,12108,2021,1384.586493,45273409.46,97.08929257,667.5003393,3660.543839,70.45435276,2581.205592,813.1861294,694.7069598,B,6
547657.92,6149438.21,1999,152,1999,950,1650000,2395000,4,1617094,7972457,410,13254,2017,1549.960047,46904147.78,82.54836374,914.4152673,3638.237016,51.22297338,2684.613585,867.4007851,519.4435808,D,4
555156.87,6146594.15,1980,136,1980,905,1050000,1325000,3,26857,3003923,410,16052,2021,4731.109571,34511224.52,258.4962108,323.4426411,1075.212487,452.23278,1481.327156,1184.308276,444.288758,C,5
548757.65,6155326.3,1960,107,1960,1398,1150000,1700000,4,19625,3006647,410,8777,2020,710.1403965,42068871.14,2524.23823,362.7857578,2988.020143,473.5698132,2891.26962,2962.835339,361.0223745,F,2
556080.33,6146588.51,1998,166,1998,886,1750000,1890000,4,1643611,7981609,410,16452,2020,5650.997086,36237769.03,743.8007729,276.1646424,1410.263593,152.0457767,764.8737516,269.483876,153.3160086,C,5
544704.82,6151143.02,1976,144,1976,1030,1550000,1650000,4,24263,5452018,410,11512,2020,884.5015324,43627732.08,61.10812983,287.6791087,6098.192306,31.00016018,2547.602412,128.9228356,293.1665482,C,5
559137.15,6143100.71,1983,226,2007,1423,1650000,1525000,2,31829,2701870,410,4594,2017,9217.255185,23585242.42,341.06893,438.0091273,2333.793373,331.3877804,2502.598436,100.1510556,205.1893177,C,5
561387.52,6140233.32,1970,280,1970,2000,1050000,1095000,4,33215,2703911,410,1309,2022,12447.97191,20437445.88,373.9867323,186.3013151,1558.389819,462.7251903,3115.083286,454.4060128,668.4276964,None,0
545350.14,6150469.22,1962,120,1962,851,1100000,1875000,4,24500,5451862,410,6366,2016,431.7373545,42056839.98,410.2275548,171.8640044,5532.69088,159.817647,2809.182321,329.4592664,398.5580811,D,4
561576.24,6139328.84,1951,182,1999,596,1000000,1280000,4,33615,2703974,410,2050,2017,13064.091,21425910.75,94.41527885,531.3663043,1980.229981,308.6638537,3783.350067,460.5444624,410.5472665,D,4
548573.94,6153820.66,1957,179,1957,600,1600000,2857500,3,19382,3007639,410,9296,2019,1149.963075,62323805.89,3385.762831,86.83326053,2941.672185,140.6635767,1407.276804,1587.277156,449.6301014,D,4
548219.41,6150202.03,1967,121,1967,701,940000,995000,2,17009,3001430,410,7453,2017,1667.306246,41696034.81,743.541375,1194.538738,2804.615917,232.5665862,1795.101721,272.8752118,466.8014503,F,2
547084.32,6149150.69,1987,107,1987,963,1200000,1900000,2,16147,3000710,410,11883,2020,1087.391224,46840210.4,723.2442635,629.2858309,4279.381025,635.5672846,3237.102164,1333.214806,361.9410611,C,5
549330.06,6154664.18,1977,129,1989,1016,1350000,2050000,3,19825,3007453,410,11577,2020,1167.831298,47440130.91,3390.422787,328.4771305,2231.801524,27.37823909,2342.736207,2205.850065,240.4064891,None,0
548720.22,6154724.81,1962,168,1962,925,1200000,2120000,2,19259,3007251,410,8140,2017,562.3613509,48108437.81,3038.47564,237.3597792,2839.968613,540.171427,2309.878237,2399.080298,347.0718094,D,4
559688.06,6144240.28,1946,120,1980,1040,590000,1500000,4,32112,2701310,410,2545,2021,8523.759754,25416970.07,1329.984455,611.9304082,1899.961759,149.0810347,1297.557196,19.78002679,255.9267749,D,4
564116.68,6146810.02,1996,158,2003,963,1550000,1650000,4,34889,2705204,410,4549,2017,7175.072357,29432285.48,6440.459012,125.3436348,3446.733776,213.6563561,3669.831204,320.5915101,414.1226607,None,0
557057.38,6145196,1923,102,1999,824,630000,680000,2,26714,3003236,410,14982,2017,6683.322096,28328731.54,11.77326058,73.81878894,1193.204759,393.5192206,1624.527971,796.1457323,349.7072074,None,0
557119.07,6148957.34,1970,165,1976,1734,990000,1300000,3,24832,2697856,410,14742,2019,4826.045641,24863651.87,3305.550789,272.2878437,939.1191414,61.67226686,1211.520945,112.1171298,242.5381207,B,6
555835.85,6146152.6,1925,223,1973,1095,1250000,1795000,4,27583,3004072,410,14144,2021,5390.830509,32517051.14,244.4243435,233.9282157,1636.833676,69.66398755,1257.687141,595.7824093,208.9126612,D,4
547414.59,6150515.29,1960,132,1967,778,1100000,1635000,3,16293,3001749,410,8092,2016,959.6096909,33889482.03,122.4454154,681.3900635,3492.938137,157.4445756,1910.3976,34.50821731,1014.750753,E,3
550052.36,6151016.19,1943,102,1943,1067,600000,475000,2,20665,3008673,410,9985,2019,3006.587153,35287629.21,2486.661709,366.4896181,808.7040957,1154.946345,163.2906497,15.94307838,264.937158,G,1
546801.78,6149292.42,1975,133,2008,934,1150000,2100000,3,15844,3000982,410,11284,2017,772.744981,47710026.82,903.6693073,316.3329931,4466.844681,457.8825383,3260.51149,1231.962436,541.6207445,C,5
548652.46,6154524.67,1987,219,1987,1534,2250000,3895000,4,19269,3007291,410,10465,2021,600.1648715,49389370.83,3191.354356,299.5577929,2872.478809,569.362883,2098.580271,2230.090501,306.5981105,C,5
555013.67,6146097.12,1925,204,1925,720,1050000,300000,2,26482,3002825,410,14408,2019,4569.17161,26651337.79,227.9885943,66.90741067,1400.476226,222.8190622,1867.081588,1419.808391,213.0260944,G,1
551624.05,6147971.48,1968,174,1977,739,900000,1100000,4,15492,3000475,410,8971,2020,2155.114071,24726699.07,116.2462784,200.0240191,1592.312551,59.26288373,1876.711834,765.7861427,190.1383667,D,4
547650.46,6149509.23,1987,173,1998,1005,1700000,2060000,4,16681,3001130,410,12394,2021,1531.556232,52050534.62,53.83062002,867.1874462,3610.890791,22.44829377,2650.458126,866.5657378,579.8594675,C,5
545565.54,6150794.22,1958,100,1958,747,900000,1575000,5,22212,5451283,410,5980,2019,768.5348186,31397359.29,82.40241695,480.6823386,5270.652834,192.8666703,2425.710605,30.49180522,493.1517778,E,3
564535.36,6146937.41,1777,98,1777,1410,510000,920000,2,34974,2705290,410,641,2022,7315.989815,20224605.25,6870.601688,33.42950344,3884.364511,146.5459628,4067.355402,115.4776879,386.4559309,D,4
551059.29,6153444.08,1971,186,1995,1821,1600000,1650000,4,20252,3008341,410,7997,2021,3221.803495,29912180.47,4789.579186,506.2983715,820.0827252,570.6217445,2234.979111,1786.042718,189.3675521,G,1
561752.03,6139497.01,1964,238,1976,849,900000,1200000,4,33720,2703691,410,442,2018,13127.94955,20987021.62,140.1584194,767.1700167,1739.609327,284.7695646,3552.898635,349.6372831,453.4162489,None,0
555823.87,6143300.77,1957,78,1957,1000,480000,345000,2,28797,8716778,410,2325,2022,6095.062023,27069827.15,2240.297213,265.0581355,2018.96847,240.1778042,3745.012406,977.9797826,255.2786009,F,2
544934.07,6151126.96,1976,196,1976,1041,1600000,3310000,4,24306,5451983,410,11477,2021,808.4577006,54490022.57,169.3335856,279.6020828,5870.103473,128.6936009,2429.394403,263.6193824,332.0120486,D,4
556056.65,6146710.3,1998,154,1998,1006,1600000,1975000,4,628822,7810258,410,16429,2020,5637.803757,35804433.32,835.1082806,382.6899319,1372.319792,30.61410101,684.5357926,278.4184414,49.84282195,C,5
547567.04,6150999.79,1932,105,1932,760,980000,1280000,3,24077,5448877,410,7616,2019,644.0321975,35339024.11,527.8631423,1160.154969,3259.431596,412.9734967,1448.691979,518.952306,1038.730634,None,0
563167.36,6138867.86,1890,263,1979,6930,1300000,1560000,2,34827,2704922,410,3934,2019,14221.45486,25101349.77,480.4526251,696.2595276,2046.790938,191.9645449,3443.853072,1299.170199,131.3063369,E,3
556199.72,6146686.73,2003,197,2003,1279,1550000,2570000,4,2561093,8574512,410,16539,2019,5778.059609,31202203.59,890.0237846,280.6845122,1292.192895,50.33074011,613.4128484,137.3685152,93.27594813,B,6
547481.85,6149591.95,1984,143,1984,1813,1550000,1900000,4,16365,3001105,410,12114,2017,1354.74238,48669485.05,161.4939557,681.8342356,3724.066648,138.1404045,2664.441881,888.9372439,615.0351376,C,5
547662.63,6151070.79,1939,95,1939,764,880000,1420000,2,24088,5448885,410,7629,2020,682.0108771,38984692.56,646.5258631,1271.918038,3155.478515,531.7289246,1330.698865,589.8889041,966.9955597,E,3
549748.15,6154888.26,1978,297,2011,1052,1500000,2600000,5,18306,3005811,410,12175,2016,1561.195169,54853221.93,3464.405613,322.3119683,1905.023112,57.15935794,2633.191415,2427.84358,85.1989325,C,5
554740.67,6149026.64,1882,94,1974,1749,660000,400000,2,27935,3004497,410,15263,2022,5160.163775,18330184.47,2322.654305,90.35191254,1302.125359,947.844302,203.642361,898.9060281,143.9060263,D,4
548429.94,6155017.9,1950,114,2002,789,1100000,2100021,4,19024,3006998,410,7639,2021,268.4666283,40856107.63,2654.476324,618.2747921,3192.713073,541.9442409,2493.332504,2768.156077,636.3188257,E,3
562127.57,6141946.12,1913,171,1974,162,600000,1400000,4,33805,1335289,410,3281,2017,10996.93464,22497195.37,2116.596243,209.7948259,1172.575307,402.0169495,1288.331268,1928.594807,268.620271,D,4
557809.52,6149409.53,1978,201,1978,1106,1250000,1425000,3,25664,2698409,410,16158,2018,4052.696937,32637143.66,4052.60957,571.8665025,1407.500553,581.5390952,1953.801633,481.8019811,135.935292,D,4
551353.13,6155629.04,1989,126,1989,1399,1150000,1495000,2,18444,3005755,410,13009,2020,3198.747027,44105171.95,4229.687756,157.8117502,1499.542671,63.66715715,3982.403491,3633.751621,190.0917489,E,3
552300.04,6153600.52,1958,101,1958,6427,770000,1400000,2,20839,9506408,410,5784,2019,4314.48915,29559134.2,5560.935125,104.1379119,964.1865359,394.4870943,3422.926255,2591.431581,162.7740428,None,0
546886.44,6149595.78,1975,139,2006,877,1200000,1995000,3,15778,3000964,410,11267,2022,762.9816033,42293099.45,708.6430874,201.6149709,4267.152473,281.6920668,2962.703689,917.6006865,454.7036312,D,4
555257.66,6146534.26,1978,152,1978,980,1200000,1350000,4,26916,3003874,410,14001,2021,4826.577065,31220398.6,262.4020714,434.0693222,1189.190722,368.884183,1420.134273,1090.64515,445.5278292,C,5
547606.27,6150854.34,1974,152,1978,522,1250000,684276,3,16480,1355024,410,11346,2021,772.0900095,33981375.49,487.4975857,1063.808694,3244.086363,395.6133163,1527.222759,373.36,970.927025,D,4
551189.06,6149113.77,1896,199,2003,833,1150000,2450000,4,15512,3000544,410,7731,2020,3038.790788,29004189.07,944.383533,81.82808137,1253.911859,894.3170563,812.4831095,246.7561799,214.101635,C,5
554757.28,6148949.93,1900,188,1975,4921,960000,1175000,4,27936,3004498,410,15900,2021,5132.007158,17555184.47,2257.102031,114.3889608,1228.728914,923.7416809,141.2823915,832.6797669,117.0682784,C,5
551349.11,6155693.78,1897,204,1980,9494,1400000,2245000,4,2552545,8458101,410,9515,2016,3168.851136,43475677.16,4195.95437,115.7687566,1564.36896,31.54903644,4033.963646,3688.30307,177.7205818,D,4
562068.57,6149472.17,2000,214,2000,984,1850000,2535000,4,30135,2699940,410,4829,2019,3828.074946,21453070.41,6499.862538,63.86933928,3604.208651,20.14444092,4331.242178,418.6844621,22.93858653,C,5
547183.9,6149736.07,1976,191,1976,912,1350000,2175000,5,16095,3001869,410,11856,2019,1051.609802,46669124.31,381.6498505,355.6953006,3938.794912,342.5360541,2680.415686,744.984526,639.8133335,D,4
548615.39,6154989.97,1927,113,1927,828,1100000,2725000,5,19418,3006908,410,10868,2022,436.9845783,33472593.49,2753.834647,450.5161674,3006.857407,628.4037696,2527.058567,2683.679698,449.1239831,D,4
558860.45,6142539.74,1970,145,1970,774,1100000,1300000,3,31456,2701751,410,2027,2021,9164.035706,36590534.53,180.7105697,140.6698845,1821.228686,135.242192,3080.386254,341.5854023,468.3701977,None,0
544889.55,6151108.39,1977,144,1977,1105,1450000,2025000,4,24307,5451982,410,11476,2020,855.2554803,54678857.1,133.8594877,246.0519915,5915.598249,94.63748762,2469.504629,224.8130216,292.8772391,D,4
545331.5,6150821.43,1954,83,1999,788,1050000,835000,2,24568,5451758,410,6003,2022,784.2255219,35262464.14,58.3478167,346.1345186,5499.78101,40.49793137,2497.398521,23.17818529,293.3450461,E,3
544961.74,6151029.99,1965,101,1965,700,1000000,1770000,2,24345,5451931,410,7579,2022,850.0749578,50016982.13,88.79602945,206.379445,5848.628939,53.56969557,2495.850744,189.2523525,277.8438707,D,4
550856.66,6147464.99,1972,121,1972,1013,1150000,1195000,3,15184,2703339,410,8588,2019,1361.24545,33358564.03,690.8972637,631.9820397,2459.173453,480.878005,2490.910479,125.4075758,517.6023155,E,3
554618.94,6150845.1,1875,270,1991,2541,1300000,2100000,4,27751,3004357,410,15807,2021,5802.247092,28442886.71,3974.651959,405.1010062,2197.059213,432.4244084,1812.571301,341.7840281,377.3543206,D,4
547809.13,6150501.43,1935,120,1935,847,1050000,1550000,4,16927,3001253,410,5847,2022,1171.310656,38990535.44,456.9094402,987.0319554,3110.215599,187.4465884,1704.186831,20.47140687,787.2136587,None,0
548366.08,6150156.5,1971,204,1975,804,1300000,1700000,4,17237,3001456,410,8323,2021,1802.846075,35141655.94,868.5050041,1057.719553,2685.565159,236.9312426,1695.718235,263.6793938,317.0612491,C,5
547871.07,6150651.62,1927,215,1927,750,1700000,2038000,3,16780,3002486,410,8932,2021,1102.854783,39814521.28,580.74261,1119.090473,3018.856062,223.9346568,1542.577627,171.3364112,698.9477606,C,5
547794.76,6150690.41,1967,129,1967,618,1050000,1450000,3,16733,3002506,410,8923,2017,1021.119435,36861946.69,535.256354,1080.74203,3087.221586,301.0664945,1547.391478,209.490189,772.8428188,C,5
552891.55,6142442.82,1985,193,1985,3640,1850000,2585000,2,26211,2702934,410,15699,2016,4445.448633,32944378.18,4452.603532,394.9828079,1934.190763,22.49122482,5993.632797,1450.875907,65.72354981,E,3
547281.67,6150788.88,1950,100,1950,535,810000,600000,2,24000,5448791,410,9275,2020,657.1246122,31042572.98,177.1185191,839.5241417,3575.189385,64.48080955,1801.078924,308.0125079,1099.176424,G,1
547856.27,6150839.97,1971,95,1971,809,880000,1345000,2,16775,3002480,410,7018,2017,970.5852394,33186054.78,670.6226465,1224.460613,3001.56383,399.5081281,1388.09773,359.3252572,721.5472553,F,2
545547.2,6151268.71,1939,171,2016,556,1200000,2795000,3,24673,5451697,410,5273,2016,344.4759243,48982913.25,387.404817,182.0836401,5251.220304,166.2343226,2000.833299,444.262721,724.9925435,C,5
549482.36,6154013.23,1978,131,1985,887,1100000,1475000,4,17825,3006061,410,12037,2020,1571.815171,38097062.07,4023.215213,252.2973993,2020.009033,75.17975392,1720.767486,1545.787897,359.097559,D,4
561650.59,6150175.82,1915,320,1998,1545,1450000,2700000,4,29216,2699337,410,2217,2021,3009.654594,26972634.03,6767.37056,255.3588426,4144.863788,16.66597903,4795.544252,192.7506939,196.9478312,C,5
551264.17,6152342.52,2002,123,2010,410,1050000,1450000,4,2585735,8982362,410,13680,2021,4003.475853,30925658.56,4063.172564,11.4488789,1008.690889,296.2667799,1904.117072,1276.185753,196.8799789,C,5
547091.32,6151132.68,1940,120,1940,779,1200000,2649000,4,23590,5449672,410,9238,2022,279.6158946,37665848.11,408.1571787,1123.46774,3717.508056,372.4005603,1602.854072,580.0472933,1054.370299,C,5
547950.77,6150762.54,1997,167,1997,780,2500000,3075000,4,16741,3002442,410,6989,2022,1092.581759,33820624.91,705.8054981,1248.430718,2921.736954,299.3706019,1407.146848,281.2160024,618.3134804,None,0
550960.74,6147283.29,1912,226,1985,985,1450000,700000,4,15330,2703278,410,6621,2020,1229.22771,30086177.3,794.7124869,559.6188657,2535.541158,465.2116986,2645.145073,189.5789897,640.8401813,None,0
548864.31,6154940.37,1928,106,2000,539,1050000,1925000,3,19606,3006949,410,9447,2019,678.2784845,42950077.09,2911.513961,212.4530209,2754.192848,403.1656222,2560.49065,2562.440549,199.4356463,E,3
553497.43,6136487.73,1860,241,1860,1538,930000,1350000,3,35597,2705867,410,3202,2018,8545.410204,20910636.11,8021.430718,404.1948705,1902.727807,741.6701677,10944.28328,4567.169868,445.7534889,E,3
549648.86,6151956.91,1965,176,1965,3023,1350000,1100000,3,20546,3008518,410,12848,2019,2634.030289,32118275.21,2780.273914,654.536764,1253.75185,669.0367744,351.1160405,515.5792378,120.1737363,F,2
549819.34,6154236.08,2000,176,2000,1246,1900000,3120000,4,2532056,8270098,410,13465,2018,1763.516993,41650615.69,4021.710043,120.6513576,1682.20581,65.17920604,2029.14965,1787.851563,457.7808542,None,0
548139.53,6155194.35,1904,121,1904,311,1000000,2370000,5,18819,3006409,410,10364,2017,202.572175,53049997.88,2368.660941,958.0803611,3521.682807,326.2550954,2566.255548,2615.691009,941.4217665,C,5
544714.13,6151352.13,1976,169,1976,1204,1500000,2525000,4,24252,5452041,410,11535,2018,679.5820376,36588273.38,212.346981,239.5694542,6081.958199,71.08631655,2375.367148,262.6785094,435.77815,D,4
565472.3,6147796.39,1900,198,2004,2248,1000000,862500,3,35494,2705380,410,3014,2019,7311.722486,21417852.38,8102.802227,139.9078876,4569.663381,32.44240847,5338.416406,645.9178357,112.2594571,None,0
544855.34,6151255.87,1978,128,1978,930,1400000,2095000,2,24277,5452004,410,11498,2021,750.9439024,56024570.88,242.894727,292.8960008,5943.122513,128.3044882,2367.935321,315.7253011,417.4800164,C,5
547082.67,6151151.03,1938,111,1938,742,1100000,1750000,5,23575,5449684,410,9236,2019,260.8128764,37669929.62,427.0659346,1140.620475,3724.611706,392.5940719,1588.296658,591.2015698,1053.22969,D,4
557936.4,6149212.58,2008,149,2008,1079,1950000,2050000,4,2632441,9742980,410,16604,2019,4149.20912,21181326.98,3951.295418,363.2140774,1567.123693,537.3246021,1877.283546,689.5287451,128.2117015,C,5
563446.65,6150808.64,1947,61,1947,1576,540000,425000,3,30601,2700433,410,2236,2019,3872.682942,18343256.06,8413.00081,134.8215302,5421.532116,25.69750268,6192.062159,193.6148359,97.00286851,None,0
548671.05,6155409.48,1923,176,1993,851,1900000,1800000,4,19440,3006828,410,8771,2020,700.1501056,73018742.34,2408.387038,449.0390284,3100.860989,358.6698186,2942.202494,3052.345563,476.9823398,E,3
555079.84,6146557.44,1974,147,1974,854,1100000,1450000,3,26891,3003894,410,14292,2020,4651.177017,33439177.38,186.5677807,317.9687609,1049.760202,371.650826,1566.655568,1264.47365,395.8682327,None,0
549196.31,6154468.46,1977,176,1985,1387,1500000,2725000,4,19793,3007482,410,11844,2021,1099.079402,52158502.44,3485.865317,230.1468979,2326.089039,223.1561126,2139.01421,2029.46788,215.7231812,C,5
